AnimalID;Name;Day;month;Year;Hour;Minute;Second;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;Sex;AgeuponOutcome;Breed;Color;Color2
A665444;;25;10;2013;12;8;0;Euthanasia;Suffering;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Brown Tabby;
A665447;Hubble;9;11;2013;0;9;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Brown Tabby;
A665640;;20;10;2013;18;0;0;Euthanasia;Suffering;Cat;Intact;Female;1 month;Domestic Longhair Mix;Blue Cream;
A665671;;25;10;2013;12;49;0;Died;In Kennel;Cat;Intact;Female;1 month;Siamese Mix;Seal Point;
A666248;Twinkle;22;11;2013;16;4;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Longhair Mix;Brown Tabby;
A666250;Diamond;22;11;2013;16;4;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Longhair Mix;Black;
A666272;;29;10;2013;18;56;0;Euthanasia;Suffering;Dog;Intact;Female;1 month;Chihuahua Longhair Mix;Brown;
A666353;;30;10;2013;17;16;0;Euthanasia;Suffering;Cat;Intact;Female;1 month;Siamese Mix;Flame Point;
A666495;Gatsby;2;11;2013;15;37;0;Adoption;;Dog;Intact;Male;1 month;Jack Russell Terrier Mix;Tan;
A666504;;11;12;2013;12;49;0;Transfer;Partner;Cat;Neutered;Male;1 month;Domestic Shorthair Mix;Orange Tabby;White
A666506;;11;12;2013;12;49;0;Transfer;Partner;Cat;Neutered;Male;1 month;Domestic Shorthair Mix;White;Cream
A666507;;11;12;2013;12;50;0;Transfer;Partner;Cat;Neutered;Male;1 month;Domestic Shorthair Mix;Cream;
A666646;;10;11;2013;16;44;0;Transfer;Partner;Dog;Intact;Female;1 month;Labrador Retriever Mix;Black;White
A666647;Lilly;10;11;2013;17;28;0;Adoption;;Dog;Spayed;Female;1 month;Labrador Retriever Mix;White;Black
A666656;;10;11;2013;13;40;0;Adoption;;Dog;Neutered;Male;1 month;Pit Bull Mix;Brown;White
A666657;;9;11;2013;18;10;0;Adoption;;Dog;Neutered;Male;1 month;Pit Bull Mix;Black;White
A666709;Bear;15;11;2013;15;18;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Longhair Mix;Blue;
A666711;Forest;15;11;2013;15;18;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Blue;
A666712;Fox;15;11;2013;15;18;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Brown Tabby;White
A666713;Fiona;15;11;2013;15;18;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Brown Tabby;White
A666714;Franka;15;11;2013;15;18;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Brown Tabby;
A666832;Charlie;27;11;2013;19;2;0;Euthanasia;Suffering;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Black;White
A666896;Casey;8;11;2013;18;50;0;Transfer;Partner;Dog;Intact;Female;1 month;Chihuahua Shorthair Mix;Tricolor;
A667153;;13;11;2013;15;49;0;Euthanasia;Rabies Risk;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Black;White
A667197;Athos;22;11;2013;11;51;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Medium Hair Mix;Blue;
A667200;Porthos;22;11;2013;11;51;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Medium Hair Mix;Blue;White
A667275;Louie;22;11;2013;12;32;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Blue Tabby;
A667323;Cecily;22;11;2013;11;51;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Black;
A667324;Suloni;22;11;2013;11;52;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Black;
A667420;;19;11;2013;18;58;0;Transfer;Partner;Dog;Intact;Male;1 month;German Shepherd Mix;Black;Tan
A667421;;19;11;2013;18;58;0;Transfer;Partner;Dog;Intact;Male;1 month;German Shepherd Mix;Black;Tan
A667422;;19;11;2013;18;58;0;Transfer;Partner;Dog;Intact;Female;1 month;German Shepherd Mix;Black;Tan
A667424;;19;11;2013;18;59;0;Transfer;Partner;Dog;Intact;Male;1 month;German Shepherd Mix;Black;Tan
A667499;;20;11;2013;15;8;0;Euthanasia;Suffering;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Brown Tabby;
A667919;Jack;30;11;2013;15;56;0;Transfer;Partner;Dog;Intact;Male;1 month;Border Collie Mix;Black;White
A667927;Sadie;22;12;2013;17;20;0;Adoption;;Dog;Spayed;Female;1 month;German Shepherd/Mastiff;Tan;
A667928;Tiny;18;12;2013;17;10;0;Adoption;Foster;Dog;Neutered;Male;1 month;German Shepherd/Mastiff;Tan;
A667929;Pio;20;12;2013;18;15;0;Adoption;Foster;Dog;Neutered;Male;1 month;German Shepherd/Mastiff;Tan;
A668131;Dora;20;12;2013;14;41;0;Adoption;Foster;Dog;Spayed;Female;1 month;German Shepherd Mix;Black;Tan
A668132;Santa Girl;20;12;2013;17;11;0;Adoption;Foster;Dog;Spayed;Female;1 month;German Shepherd Mix;Black;Tan
A668133;Nyxie;20;12;2013;17;4;0;Adoption;Foster;Dog;Intact;Female;1 month;German Shepherd Mix;Sable;Black
A668136;Clover;17;12;2013;12;45;0;Adoption;Foster;Dog;Spayed;Female;1 month;German Shepherd Mix;Black;Brown Brindle
A668234;Redford;30;12;2013;13;5;0;Adoption;;Cat;Intact;Male;1 month;Domestic Shorthair;Orange Tabby;White
A668286;Sally;11;12;2013;13;37;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;White;Black
A668297;Thor;18;12;2013;14;52;0;Adoption;;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Blue;
A668336;;2;12;2013;15;13;0;Transfer;Partner;Dog;Intact;Female;1 month;Pit Bull Mix;Black;White
A668347;;3;12;2013;14;39;0;Transfer;Partner;Dog;Intact;Male;1 month;Australian Shepherd Mix;Black;Tricolor
A668348;;3;12;2013;14;38;0;Transfer;Partner;Dog;Intact;Male;1 month;Australian Shepherd Mix;Black;Tricolor
A668350;;4;12;2013;17;29;0;Transfer;Partner;Dog;Intact;Female;1 month;Australian Shepherd Mix;Black;Tricolor
A668597;;6;12;2013;11;30;0;Transfer;Partner;Dog;Intact;Male;1 month;Rottweiler Mix;Black;White
A668778;Flufferkins;13;12;2013;13;43;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Medium Hair Mix;White;Black
A668799;;8;1;2014;18;8;0;Adoption;Foster;Dog;Spayed;Female;1 month;Border Collie/Labrador Retriever;Black;White
A668911;;13;12;2013;13;44;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Black;
A668948;;12;12;2013;18;14;0;Transfer;Partner;Dog;Intact;Female;1 month;Chihuahua Shorthair Mix;Tricolor;
A668949;;12;12;2013;18;14;0;Transfer;Partner;Dog;Intact;Male;1 month;Chihuahua Shorthair Mix;Tricolor;
A668954;;12;12;2013;18;41;0;Euthanasia;Suffering;Cat;Unknown;;1 month;Domestic Shorthair Mix;Blue Tabby;White
A669009;;12;12;2013;18;16;0;Transfer;Partner;Dog;Intact;Male;1 month;Border Collie/Labrador Retriever;Black;White
A669011;;12;12;2013;18;17;0;Transfer;Partner;Dog;Intact;Female;1 month;Border Collie/Labrador Retriever;Black;White
A669012;;12;12;2013;18;19;0;Transfer;Partner;Dog;Intact;Female;1 month;Border Collie/Labrador Retriever;Black;White
A669135;Holly;18;12;2013;16;14;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Tortie;
A669138;Nikki;18;12;2013;16;14;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Tortie;
A669139;Ciara;18;12;2013;16;14;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Brown Tabby;
A669140;Martin;18;12;2013;16;14;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Orange Tabby;
A669142;Nelly;18;12;2013;16;14;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Orange Tabby;
A669151;;19;12;2013;16;46;0;Transfer;Partner;Dog;Intact;Male;1 month;Landseer Mix;Black;White
A669235;;18;12;2013;11;49;0;Transfer;Partner;Dog;Intact;Male;1 month;German Shepherd/Labrador Retriever;Brown;Black
A669269;Ruby;31;12;2013;16;33;0;Adoption;;Dog;Intact;Female;1 month;Labrador Retriever/Pit Bull;White;Black
A669435;;22;12;2013;12;56;0;Transfer;Partner;Dog;Intact;Male;1 month;Pit Bull Mix;White;Brown
A669450;;22;12;2013;8;32;0;Euthanasia;Rabies Risk;Cat;Unknown;;1 month;Domestic Shorthair Mix;Brown Tabby;
A669595;Am̩lie;2;1;2014;14;38;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Longhair Mix;Black;White
A669909;;10;2;2014;17;17;0;Transfer;Partner;Dog;Intact;Female;1 month;Pit Bull Mix;White;Black
A669910;;10;2;2014;17;17;0;Transfer;Partner;Dog;Intact;Male;1 month;Pit Bull Mix;White;Brown Brindle
A669967;Nikko;31;12;2013;17;15;0;Transfer;Partner;Dog;Intact;Male;1 month;Chihuahua Shorthair Mix;Brown;White
A670083;Pepper;7;1;2014;18;2;0;Adoption;Foster;Dog;Spayed;Female;1 month;Jack Russell Terrier Mix;Brown;Black
A670122;Neymar;3;1;2014;13;53;0;Return_to_owner;;Dog;Intact;Male;1 month;Chihuahua Longhair Mix;Tricolor;
A670123;Chiquita;3;1;2014;13;54;0;Return_to_owner;;Dog;Intact;Female;1 month;Chihuahua Shorthair Mix;Brown;
A670148;Rosie;28;1;2014;18;20;0;Adoption;Foster;Dog;Spayed;Female;1 month;Labrador Retriever Mix;Black;White
A670153;Violet;23;1;2014;15;46;0;Adoption;Foster;Dog;Spayed;Female;1 month;Labrador Retriever Mix;Black;White
A670224;Frida;18;1;2014;17;6;0;Adoption;;Dog;Spayed;Female;1 month;Chihuahua Shorthair Mix;Black;
A670760;;13;1;2014;19;9;0;Euthanasia;Suffering;Dog;Intact;Male;1 month;Chihuahua Shorthair Mix;Brown;
A671063;Jake;22;1;2014;8;53;0;Euthanasia;Suffering;Cat;Intact;Male;1 month;Domestic Medium Hair Mix;Black;White
A671188;Junie;14;2;2014;17;9;0;Adoption;Foster;Dog;Spayed;Female;1 month;Australian Cattle Dog Mix;Tricolor;
A671189;Janie;14;2;2014;16;13;0;Adoption;Foster;Dog;Spayed;Female;1 month;Australian Cattle Dog Mix;Tricolor;
A671432;Polly;8;3;2014;17;42;0;Adoption;Foster;Dog;Spayed;Female;1 month;Chihuahua Shorthair Mix;Black;Brown
A671433;Felicity;8;3;2014;17;42;0;Adoption;Foster;Dog;Spayed;Female;1 month;Chihuahua Shorthair Mix;Tricolor;
A671435;Dusty;8;3;2014;17;42;0;Adoption;Foster;Dog;Neutered;Male;1 month;Chihuahua Shorthair Mix;Brown;Black
A671436;Milo;8;3;2014;17;43;0;Adoption;Foster;Dog;Neutered;Male;1 month;Chihuahua Shorthair Mix;Tricolor;
A671440;;24;1;2014;14;11;0;Transfer;Partner;Dog;Intact;Male;1 month;Pit Bull Mix;Tan;
A671482;Cleo;29;1;2014;18;37;0;Adoption;;Dog;Intact;Female;1 month;Chihuahua Shorthair Mix;Black;Tan
A671725;Sophie;29;3;2014;17;18;0;Adoption;Offsite;Dog;Spayed;Female;1 month;Chihuahua Shorthair Mix;Brown;
A672186;Faye;20;2;2014;12;23;0;Transfer;Partner;Dog;Intact;Female;1 month;Chihuahua Shorthair Mix;Fawn;Blue
A672228;Winnie;1;3;2014;17;22;0;Adoption;Foster;Dog;Spayed;Female;1 month;Border Collie Mix;Tricolor;
A672416;Bernie;12;2;2014;15;8;0;Transfer;Partner;Dog;Intact;Female;1 month;Bernese Mountain Dog Mix;Tricolor;
A672802;Beans;21;2;2014;10;14;0;Transfer;Partner;Dog;Intact;Male;1 month;Chihuahua Shorthair Mix;Brown;White
A672803;Whopper;21;2;2014;10;14;0;Transfer;Partner;Dog;Intact;Male;1 month;Chihuahua Shorthair Mix;Tan;Black
