AnimalID;Name;DateTime;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;AgeuponOutcome;Breed;Color;Color2
A673108;Tara;09/03/2014 13:29;Transfer;Partner;Dog;Spayed Female;4 years;Maltese Mix;Apricot;
A713304;Apricot;14/10/2015 16:03;Adoption;;Dog;Spayed Female;1 year;Pit Bull Mix;Apricot;White
A701290;Petey;27/04/2015 12:42;Return_to_owner;;Dog;Neutered Male;2 years;Miniature Poodle Mix;Apricot;
A682516;Willow;23/07/2014 16:02;Transfer;Partner;Dog;Intact Female;1 year;Miniature Poodle Mix;Apricot;
A689383;Gilly;07/10/2014 18:10;Adoption;;Dog;Spayed Female;10 months;Miniature Poodle Mix;Apricot;
A693367;Jojo;13/04/2015 17:35;Adoption;;Dog;Neutered Male;2 years;Miniature Poodle Mix;Apricot;
A677334;Elsa;25/04/2014 13:04;Transfer;Partner;Dog;Intact Female;1 month;Cairn Terrier/Chihuahua Shorthair;Black;Tan
A668402;;05/12/2013 15:50;Transfer;SCRP;Cat;Unknown;2 years;Domestic Shorthair Mix;Black;
A704702;Scooter;08/06/2015 16:30;Return_to_owner;;Dog;Neutered Male;2 years;Yorkshire Terrier Mix;Black;Red
A684787;Kuma;30/07/2014 17:34;Return_to_owner;;Dog;Neutered Male;1 year;Flat Coat Retriever Mix;Black;
A670658;Anders;19/01/2014 15:03;Transfer;Partner;Dog;Intact Male;2 months;Queensland Heeler Mix;Black;White
A676333;Trigger;09/04/2014 17:44;Return_to_owner;;Dog;Neutered Male;2 months;German Shepherd Mix;Black;Brown
A707341;Murphy;15/07/2015 15:25;Transfer;Partner;Dog;Intact Male;4 months;Labrador Retriever Mix;Black;White
A702655;Mica;11/08/2015 00:00;Transfer;Partner;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Black;White
A671181;;21/01/2014 15:15;Transfer;SCRP;Cat;Intact Male;4 years;Domestic Longhair Mix;Black;White
A676766;Ali;28/05/2014 15:52;Adoption;;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Black;White
A701804;;05/05/2015 11:46;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair Mix;Black;
A697852;Edith;09/03/2015 17:57;Adoption;;Dog;Spayed Female;5 months;German Shepherd Mix;Black;Brown
A712979;;04/10/2015 15:02;Transfer;Partner;Cat;Intact Male;1 weeks;Domestic Shorthair Mix;Black;
A713029;Wilma;06/10/2015 15:07;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black;
A683961;;17/07/2014 17:31;Transfer;Partner;Cat;Unknown;2 weeks;Domestic Shorthair Mix;Black;
A691847;Hero;08/12/2014 15:53;Transfer;Partner;Dog;Neutered Male;6 months;Pointer Mix;Black;White
A706446;Tootsie;18/08/2015 11:32;Return_to_owner;;Cat;Intact Female;1 year;Domestic Shorthair Mix;Black;
A704179;Zeus;07/06/2015 16:07;Adoption;;Dog;Neutered Male;2 months;Chow Chow/Pit Bull;Black;
A717839;;20/12/2015 19:38;Transfer;SCRP;Cat;Spayed Female;2 years;Domestic Shorthair Mix;Black;White
A704754;Arthur;18/07/2015 15:37;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A707531;;14/07/2015 15:04;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Black;
A677594;;26/04/2014 18:00;Transfer;Partner;Dog;Intact Female;3 months;Labrador Retriever Mix;Black;White
A687012;Chloe;07/02/2016 14:54;Adoption;;Dog;Spayed Female;3 years;Boxer/Great Dane;Black;
A676680;Hero;06/02/2015 18:56;Euthanasia;Aggressive;Dog;Spayed Female;2 years;German Shepherd Mix;Black;Tan
A688443;Thelma;29/12/2014 15:11;Adoption;Foster;Cat;Spayed Female;4 months;Domestic Shorthair Mix;Black;
A717008;Taz;06/12/2015 15:12;Transfer;Partner;Dog;Neutered Male;7 months;Border Collie Mix;Black;White
A683416;;14/07/2014 19:28;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;White
A690658;;24/10/2014 09:00;Transfer;SCRP;Cat;Intact Male;3 years;Domestic Shorthair Mix;Black;White
A708351;;26/07/2015 14:40;Transfer;Partner;Cat;Unknown;2 weeks;Domestic Shorthair Mix;Black;
A668362;Minnie;20/12/2013 12:02;Return_to_owner;;Dog;Spayed Female;2 years;Chihuahua Shorthair Mix;Black;Tan
A674802;Franklin;29/03/2014 11:26;Return_to_owner;;Dog;Neutered Male;9 years;Dachshund Mix;Black;Brown
A713392;Basil;05/11/2015 00:00;Transfer;Partner;Dog;Intact Male;3 months;Chihuahua Shorthair Mix;Black;White
A676146;Desmo;14/04/2014 17:00;Return_to_owner;;Dog;Neutered Male;5 years;Dachshund Mix;Black;
A679259;Pablo;26/05/2014 11:22;Adoption;;Dog;Neutered Male;8 years;Miniature Schnauzer/Miniature Poodle;Black;
A688223;;21/09/2014 14:15;Adoption;Offsite;Dog;Spayed Female;2 months;Labrador Retriever Mix;Black;White
A688871;Pandora;03/10/2014 18:43;Adoption;;Cat;Intact Female;2 months;Domestic Shorthair Mix;Black;
A674530;Jackson;11/09/2014 17:03;Adoption;;Dog;Neutered Male;5 years;Pit Bull;Black;
A707781;Pearl;15/01/2016 14:03;Adoption;;Dog;Spayed Female;1 year;Chihuahua Shorthair/Jack Russell Terrier;Black;White
A694699;Pebbles;09/01/2015 15:28;Transfer;Partner;Dog;Spayed Female;2 years;Chihuahua Shorthair Mix;Black;Tan
A679915;Luna;01/06/2014 17:48;Adoption;;Cat;Spayed Female;1 year;Domestic Shorthair Mix;Black;White
A717167;Oscar;23/01/2016 16:05;Adoption;Foster;Cat;Neutered Male;4 years;Domestic Shorthair Mix;Black;White
A716760;Dasher;06/12/2015 17:08;Adoption;;Dog;Neutered Male;6 months;Border Collie Mix;Black;White
A709048;Libby;08/08/2015 17:58;Adoption;;Dog;Intact Female;5 months;Labrador Retriever Mix;Black;White
A707437;;19/07/2015 17:26;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A681462;Samson;10/08/2014 16:25;Adoption;;Dog;Neutered Male;2 years;Labrador Retriever/Rottweiler;Black;Brown
A700707;Sallie;20/04/2015 14:41;Adoption;;Dog;Spayed Female;1 month;Plott Hound/Labrador Retriever;Black;Brown Brindle
A713364;Calypso;13/11/2015 11:53;Transfer;Partner;Cat;Intact Female;1 year;Domestic Shorthair Mix;Black;White
A702246;;15/05/2015 17:47;Adoption;;Dog;Spayed Female;9 months;Miniature Poodle Mix;Black;White
A703631;Hanley;03/07/2015 18:50;Adoption;;Dog;Neutered Male;1 year;Labrador Retriever Mix;Black;White
A671105;;21/01/2014 15:20;Transfer;SCRP;Cat;Unknown;1 year;Domestic Longhair Mix;Black;
A688852;Buddy;18/10/2014 18:48;Adoption;;Dog;Neutered Male;6 years;Labrador Retriever Mix;Black;White
A705885;Meowser;27/06/2015 18:24;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair Mix;Black;
A665666;Teddy;27/12/2013 15:49;Transfer;Partner;Cat;Neutered Male;1 year;Domestic Shorthair Mix;Black;
A714575;Isis;31/10/2015 15:18;Transfer;Partner;Cat;Intact Female;15 years;Domestic Shorthair Mix;Black;
A678482;;14/05/2014 19:15;Adoption;;Dog;Neutered Male;2 years;Miniature Poodle/Miniature Schnauzer;Black;White
A674737;Byron;27/05/2014 08:21;Adoption;Foster;Cat;Intact Male;2 months;Domestic Shorthair Mix;Black;
A666478;Bleu;04/11/2013 17:51;Adoption;;Dog;Spayed Female;1 year;Miniature Schnauzer/Yorkshire Terrier;Black;White
A487470;Midnight;20/01/2014 18:40;Euthanasia;Aggressive;Dog;Neutered Male;9 years;Labrador Retriever/Pit Bull;Black;
A668260;;02/12/2013 14:10;Transfer;Partner;Dog;Spayed Female;5 years;Great Dane;Black;White
A716964;Rello;29/11/2015 18:11;Return_to_owner;;Dog;Intact Male;2 years;Chihuahua Shorthair Mix;Black;White
A616229;Rebecca;21/11/2015 15:21;Adoption;;Cat;Spayed Female;6 years;Domestic Shorthair Mix;Black;White
A676334;;22/04/2014 15:35;Transfer;SCRP;Cat;Intact Female;2 years;Domestic Shorthair Mix;Black;
A709067;Earlene;05/08/2015 00:00;Return_to_owner;;Dog;Intact Female;5 months;Boxer Mix;Black;White
A608918;Vader;02/06/2015 11:56;Transfer;Partner;Dog;Neutered Male;4 years;Basset Hound/Labrador Retriever;Black;White
A693272;Kodiak;31/01/2015 13:33;Adoption;;Dog;Neutered Male;1 month;Beagle/German Shepherd;Black;Brown
A658690;Priscilla;19/10/2013 12:58;Adoption;;Dog;Spayed Female;1 year;Pit Bull Mix;Black;White
A708390;Stella;02/08/2015 18:49;Adoption;;Dog;Spayed Female;2 years;Flat Coat Retriever Mix;Black;White
A698972;Kiki;23/03/2015 17:50;Return_to_owner;;Dog;Spayed Female;6 years;Chihuahua Shorthair Mix;Black;Gray
A640316;Kato;02/10/2013 17:43;Adoption;;Dog;Neutered Male;1 year;Chihuahua Longhair Mix;Black;
A588218;Roger;03/12/2014 14:24;Return_to_owner;;Dog;Neutered Male;5 years;German Shepherd;Black;Brown
A669795;Roxi;11/08/2014 11:12;Return_to_owner;;Dog;Spayed Female;2 years;Rottweiler Mix;Black;Tan
A701647;;25/05/2015 14:15;Transfer;Partner;Cat;Intact Female;3 months;Domestic Shorthair Mix;Black;
A712244;;21/09/2015 15:57;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black;White
A663948;Pumpkin;08/10/2013 17:23;Return_to_owner;;Cat;Neutered Male;3 months;Domestic Shorthair;Black;White
A690806;Hailey;07/11/2014 13:36;Transfer;Partner;Cat;Intact Female;2 months;Domestic Longhair Mix;Black;White
A676494;Jimmy;27/04/2014 15:11;Adoption;;Dog;Neutered Male;1 year;Labrador Retriever/Border Collie;Black;White
A694601;Barnaby;06/01/2015 18:37;Adoption;;Cat;Neutered Male;6 months;Domestic Shorthair Mix;Black;
A638060;Noah;16/08/2015 17:38;Adoption;;Cat;Neutered Male;8 years;Domestic Shorthair Mix;Black;White
A678185;;09/05/2014 19:30;Transfer;Partner;Dog;Spayed Female;2 years;Miniature Poodle Mix;Black;Gray
A693594;;12/12/2014 09:00;Transfer;SCRP;Cat;Intact Male;6 months;Domestic Shorthair Mix;Black;White
A669510;Kimchi;01/01/2014 18:45;Adoption;;Dog;Spayed Female;1 year;Rottweiler/Labrador Retriever;Black;Tan
A693999;;23/12/2014 14:58;Transfer;Partner;Dog;Spayed Female;4 years;Rat Terrier Mix;Black;White
A668803;Dumpling;11/01/2014 17:42;Adoption;Foster;Dog;Spayed Female;2 months;Border Collie/Labrador Retriever;Black;White
A684825;Carl;06/08/2014 14:23;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair Mix;Black;White
A667828;;26/11/2013 14:55;Transfer;SCRP;Cat;Intact Female;4 months;Domestic Shorthair Mix;Black;
A682824;;08/07/2014 14:48;Transfer;Partner;Cat;Intact Male;2 months;Domestic Shorthair Mix;Black;White
A689449;Bizzy;18/11/2014 11:32;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Black;
A681003;;17/06/2014 13:27;Transfer;Partner;Dog;Neutered Male;2 years;Pointer/Labrador Retriever;Black;White
A694278;Mya;02/01/2015 16:50;Transfer;Partner;Dog;Spayed Female;7 years;Great Dane;Black;White
A710227;Sebastian;24/08/2015 18:23;Euthanasia;Suffering;Cat;Neutered Male;12 years;Domestic Shorthair Mix;Black;White
A693739;Lily;19/12/2014 11:23;Transfer;Partner;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Black;White
A697921;Pi;16/03/2015 12:10;Adoption;;Dog;Spayed Female;1 year;Flat Coat Retriever Mix;Black;
A690723;Friskie;23/11/2014 18:23;Adoption;;Cat;Spayed Female;2 months;Domestic Longhair Mix;Black;White
A699499;;01/04/2015 18:44;Adoption;;Cat;Neutered Male;1 year;Domestic Shorthair Mix;Black;White
A688501;Watson;18/12/2014 13:35;Transfer;Partner;Cat;Neutered Male;4 months;Domestic Medium Hair Mix;Black;
A672744;Oso;17/04/2014 17:09;Euthanasia;Aggressive;Dog;Intact Male;3 years;Rottweiler Mix;Black;Tan
A702973;;19/05/2015 18:49;Transfer;Partner;Cat;Unknown;3 weeks;Domestic Shorthair Mix;Black;White
A696609;Lizzy;11/07/2015 13:49;Transfer;Partner;Dog;Spayed Female;2 years;Labrador Retriever;Black;
A718585;;07/01/2016 12:44;Transfer;Partner;Dog;Neutered Male;2 months;Labrador Retriever Mix;Black;Tan
A716400;Calliope;24/11/2015 00:00;Transfer;Partner;Dog;Intact Female;1 year;Yorkshire Terrier Mix;Black;Tan
A675049;Judy;22/03/2014 16:23;Return_to_owner;;Dog;Spayed Female;3 years;Labrador Retriever Mix;Black;White
A695654;Asha;27/01/2015 14:06;Euthanasia;Suffering;Dog;Intact Female;8 months;Labrador Retriever Mix;Black;
A667129;Marcia;08/12/2013 19:11;Adoption;;Cat;Spayed Female;6 months;Domestic Shorthair Mix;Black;White
A663346;July;10/11/2013 18:25;Euthanasia;Aggressive;Dog;Spayed Female;1 year;Pit Bull Mix;Black;White
A667366;;17/11/2013 18:28;Return_to_owner;;Dog;Spayed Female;3 years;Chihuahua Shorthair Mix;Black;Tan
A657652;Mason;03/06/2014 11:47;Adoption;;Dog;Neutered Male;3 years;Labrador Retriever/Chinese Sharpei;Black;
A711562;Bino;08/09/2015 18:00;Euthanasia;Suffering;Dog;Intact Male;1 year;Dachshund/Chihuahua Shorthair;Black;
A716766;Marley;24/11/2015 16:51;Return_to_owner;;Dog;Neutered Male;5 years;Cocker Spaniel Mix;Black;
A663819;Zeus;11/11/2015 18:55;Return_to_owner;;Dog;Neutered Male;3 years;Pit Bull Mix;Black;White
A695428;;16/01/2015 09:00;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Black;White
A653055;Leia;01/02/2015 12:29;Return_to_owner;;Dog;Spayed Female;2 years;Black/Tan Hound Mix;Black;Tan
A682724;Morris;13/07/2014 19:37;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A675640;Tyrone;10/04/2014 11:22;Return_to_owner;;Dog;Neutered Male;2 years;Border Collie Mix;Black;White
A694435;Sam;06/01/2015 16:54;Transfer;Partner;Dog;Neutered Male;2 years;German Shepherd Mix;Black;Tan
A668653;Chubs;05/11/2015 14:23;Adoption;;Dog;Neutered Male;2 years;Chihuahua Shorthair Mix;Black;
A706506;;30/06/2015 12:17;Transfer;Partner;Cat;Unknown;5 days;Domestic Shorthair Mix;Black;
A641103;Apollo;26/12/2015 15:48;Return_to_owner;;Dog;Intact Male;3 years;Siberian Husky;Black;White
A660275;Lucy;04/11/2013 15:40;Return_to_owner;;Dog;Spayed Female;2 years;Scottish Terrier/Cairn Terrier;Black;
A690333;;20/10/2014 09:00;Transfer;SCRP;Cat;Unknown;8 months;Domestic Shorthair Mix;Black;
A707682;Sleepy;21/08/2015 15:43;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A667942;Shadow;01/12/2013 19:00;Adoption;;Dog;Spayed Female;8 months;Labrador Retriever Mix;Black;
A697537;Annie;05/11/2015 14:33;Adoption;;Dog;Spayed Female;3 years;Pit Bull Mix;Black;White
A700025;Molly;09/04/2015 15:36;Return_to_owner;;Dog;Intact Female;10 years;Yorkshire Terrier Mix;Black;Tricolor
A586923;Riley;18/03/2015 14:23;Return_to_owner;;Cat;Neutered Male;4 years;Domestic Shorthair Mix;Black;White
A720466;Axel;16/02/2016 11:16;Return_to_owner;;Dog;Neutered Male;10 years;Doberman Pinsch;Black;Tan
A696236;Ollie;11/02/2015 17:16;Transfer;Partner;Dog;Intact Male;2 years;Australian Cattle Dog/Labrador Retriever;Black;
A663585;Star;02/10/2013 18:00;Transfer;Partner;Cat;Intact Female;2 months;Domestic Shorthair Mix;Black;
A691568;Tex;08/11/2014 17:32;Return_to_owner;;Dog;Neutered Male;6 years;Chihuahua Shorthair Mix;Black;White
A665953;;24/10/2013 18:52;Euthanasia;Suffering;Cat;Neutered Male;8 years;Domestic Medium Hair Mix;Black;White
A685087;;02/08/2014 09:48;Euthanasia;Suffering;Cat;Unknown;1 year;Domestic Shorthair Mix;Black;White
A718953;;13/01/2016 17:16;Adoption;;Dog;Neutered Male;2 months;Dachshund/Chihuahua Shorthair;Black;
A703243;;27/05/2015 12:19;Transfer;Partner;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Black;White
A663020;June;19/10/2013 17:04;Adoption;Foster;Dog;Spayed Female;2 months;Chihuahua Shorthair Mix;Black;
A709799;;14/08/2015 13:21;Transfer;Partner;Dog;Intact Female;1 month;Australian Kelpie Mix;Black;
A680245;Collaway;03/06/2014 18:26;Adoption;;Cat;Neutered Male;3 years;Domestic Shorthair Mix;Black;
A719849;Eula;07/02/2016 12:42;Transfer;Partner;Dog;Spayed Female;5 months;Labrador Retriever Mix;Black;White
A688254;Coco;21/09/2014 12:01;Adoption;;Dog;Spayed Female;5 months;Rottweiler Mix;Black;Brown
A718492;Dexter;09/01/2016 19:02;Adoption;;Dog;Neutered Male;2 months;Labrador Retriever Mix;Black;White
A701193;Sid;16/06/2015 08:29;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A712861;Ajax;07/10/2015 12:00;Transfer;Partner;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Black;White
A681539;Orson;08/07/2014 14:44;Transfer;Partner;Cat;Neutered Male;12 years;Domestic Shorthair Mix;Black;
A679058;Penelope;16/05/2014 12:50;Return_to_owner;;Dog;Spayed Female;5 years;Labrador Retriever Mix;Black;Brown
A684998;Tiki;30/01/2015 18:00;Adoption;;Cat;Neutered Male;10 years;Domestic Shorthair Mix;Black;White
A682578;;23/07/2014 16:02;Transfer;Partner;Dog;Intact Female;1 month;Miniature Poodle Mix;Black;White
A720615;Nikita;12/02/2016 18:51;Return_to_owner;;Dog;Spayed Female;6 months;Australian Kelpie Mix;Black;Tan
A694848;;20/01/2015 14:43;Transfer;Partner;Dog;Intact Female;2 weeks;Border Collie Mix;Black;White
A673652;Fancy;28/03/2014 14:39;Transfer;Partner;Dog;Neutered Male;2 years;Papillon/Border Collie;Black;White
A689729;;10/10/2014 09:00;Transfer;SCRP;Cat;Intact Male;5 months;Domestic Shorthair Mix;Black;
A535012;Negro;08/09/2014 11:56;Return_to_owner;;Dog;Neutered Male;7 years;Chow Chow Mix;Black;
A704672;Bentley;01/08/2015 17:27;Adoption;Foster;Dog;Neutered Male;1 month;Dachshund Wirehair/Miniature Poodle;Black;Tan
A702984;;20/05/2015 09:00;Transfer;SCRP;Cat;Intact Male;1 year;Domestic Shorthair Mix;Black;
A694674;Ryder;27/01/2015 19:06;Adoption;;Dog;Spayed Female;1 year;Labrador Retriever/Australian Cattle Dog;Black;White
A689744;;14/10/2014 17:02;Adoption;;Dog;Neutered Male;3 years;Miniature Schnauzer Mix;Black;Gray
A713410;Daisy;07/10/2015 11:54;Return_to_owner;;Dog;Intact Female;3 years;Yorkshire Terrier Mix;Black;Tan
A689897;Annabelle;18/10/2014 14:43;Adoption;;Dog;Spayed Female;2 years;Australian Kelpie Mix;Black;Tan
A694865;Cher;06/01/2015 15:06;Transfer;Partner;Dog;Intact Female;2 months;Yorkshire Terrier/Chihuahua Shorthair;Black;Brown
A666731;Patience;01/12/2013 16:21;Adoption;;Dog;Spayed Female;6 months;Labrador Retriever Mix;Black;
A688594;;04/10/2014 14:59;Adoption;;Dog;Spayed Female;2 months;Chihuahua Shorthair Mix;Black;
A710122;;19/08/2015 09:00;Transfer;SCRP;Cat;Unknown;1 year;Domestic Shorthair Mix;Black;White
A665579;Candy;04/11/2013 15:09;Transfer;Partner;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A691943;Archer;12/02/2015 18:00;Adoption;;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Black;White
A680552;River;28/06/2014 13:45;Adoption;;Cat;Intact Female;2 months;Domestic Shorthair Mix;Black;White
A708817;Sugarberry;10/08/2015 18:04;Adoption;;Dog;Spayed Female;8 months;Pointer Mix;Black;White
A705521;Bolo;19/06/2015 14:43;Return_to_owner;;Dog;Neutered Male;1 year;Border Collie/German Shepherd;Black;
A712201;;21/09/2015 15:58;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black;
A699602;Toad;06/04/2015 18:31;Adoption;;Cat;Neutered Male;4 years;Domestic Shorthair Mix;Black;
A679815;Lulu;31/05/2014 13:57;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black;
A668484;Mickey;24/11/2015 00:00;Transfer;Partner;Dog;Neutered Male;2 years;Chihuahua Shorthair Mix;Black;Tan
A681407;Champ;17/06/2014 17:27;Return_to_owner;;Dog;Neutered Male;2 years;Beauceron Mix;Black;Tan
A690290;Zip;18/10/2014 12:31;Transfer;Partner;Dog;Intact Male;5 months;Chihuahua Shorthair Mix;Black;Tan
A671257;Pepper;10/02/2014 17:16;Transfer;Partner;Dog;Neutered Male;2 years;Rat Terrier Mix;Black;Brown
A720432;Tequila;09/02/2016 14:53;Return_to_owner;;Dog;Spayed Female;6 years;Schipperke Mix;Black;
A698633;Samson;07/04/2015 14:54;Transfer;Partner;Cat;Neutered Male;10 years;Domestic Longhair Mix;Black;
A672337;Jasper;11/02/2014 14:04;Adoption;;Dog;Neutered Male;8 months;Labrador Retriever/Standard Poodle;Black;
A708716;Buster;12/10/2015 17:30;Transfer;Partner;Dog;Neutered Male;9 months;Rottweiler Mix;Black;Tan
A644525;Katie;15/12/2013 18:27;Transfer;Partner;Dog;Spayed Female;3 years;Labrador Retriever Mix;Black;White
A698794;Ivana;20/09/2015 17:26;Adoption;;Dog;Spayed Female;1 year;Pit Bull Mix;Black;White
A698029;;10/03/2015 16:12;Transfer;Partner;Dog;Spayed Female;1 year;Doberman Pinsch;Black;Brown
A676304;Andy;18/04/2014 12:01;Transfer;Partner;Dog;Intact Male;5 months;Pit Bull Mix;Black;
A692374;Jasper;29/12/2014 11:15;Adoption;Foster;Dog;Neutered Male;2 months;German Shepherd/Labrador Retriever;Black;White
A663623;Monkey;10/10/2013 16:25;Adoption;;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Black;
A685580;;09/08/2014 15:58;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair Mix;Black;
A706565;Ducky;02/07/2015 00:00;Transfer;Partner;Cat;Neutered Male;3 months;Domestic Shorthair Mix;Black;
A694012;Zorro;20/12/2014 14:03;Euthanasia;Behavior;Dog;Neutered Male;11 years;Labrador Retriever Mix;Black;
A684378;;22/07/2014 17:34;Transfer;Partner;Cat;Unknown;2 weeks;Domestic Shorthair Mix;Black;
A665279;Pinky;04/11/2013 15:10;Transfer;Partner;Dog;Intact Female;1 year;Dachshund Mix;Black;Brown
A708871;Onyx;09/09/2015 13:46;Adoption;;Dog;Neutered Male;1 year;Labrador Retriever/Chinese Sharpei;Black;White
A673234;Baxter;19/08/2014 15:18;Adoption;Foster;Dog;Neutered Male;3 years;Chihuahua Shorthair Mix;Black;Tan
A709953;Roxy;15/08/2015 12:49;Return_to_owner;;Dog;Spayed Female;2 years;American Pit Bull Terrier Mix;Black;
A640789;Cupulin;31/01/2014 14:52;Euthanasia;Aggressive;Dog;Neutered Male;2 years;Labrador Retriever Mix;Black;
A700861;;24/04/2015 15:35;Transfer;Partner;Dog;Intact Female;2 months;Labrador Retriever Mix;Black;
A666961;;11/11/2013 15:24;Transfer;SCRP;Cat;Intact Male;2 years;Domestic Shorthair Mix;Black;White
A713375;;07/10/2015 09:00;Transfer;SCRP;Cat;Unknown;4 years;Domestic Medium Hair Mix;Black;White
A685318;;05/08/2014 16:21;Transfer;Partner;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Black;
A683148;;11/07/2014 15:57;Transfer;Partner;Dog;Intact Male;2 months;Labrador Retriever Mix;Black;White
A714966;Wombat;11/11/2015 12:19;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair Mix;Black;White
A689857;;04/12/2014 13:16;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;
A717663;Ghost;14/12/2015 18:18;Return_to_owner;;Dog;Neutered Male;2 years;Siberian Husky Mix;Black;White
A690406;;21/10/2014 08:10;Euthanasia;Suffering;Cat;Neutered Male;4 years;Domestic Shorthair Mix;Black;
A696045;Shelby;01/02/2015 14:58;Transfer;Partner;Dog;Intact Female;2 years;German Shepherd;Black;Brown
A679408;;20/05/2014 10:55;Transfer;Partner;Dog;Intact Female;5 months;Chihuahua Shorthair Mix;Black;White
A668566;Gizmo;13/12/2013 10:54;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black;White
A704863;Alistair;25/08/2015 09:16;Euthanasia;Suffering;Cat;Intact Male;3 months;Domestic Longhair Mix;Black;
A720093;;06/02/2016 19:07;Transfer;SCRP;Cat;Unknown;3 years;Domestic Shorthair Mix;Black;White
